Date,close,volume,triangle_detected,triangle_upper,triangle_lower,apex_distance,compression_pct,breakout_pressure,channel_detected,channel_upper,channel_lower,channel_width,rectangle_detected,rectangle_upper,rectangle_lower,rectangle_width,flag_detected,pennant_detected,flag_quality,pole_length,retracement_depth,volume_decay,wedge_detected,cup_detected,handle_detected,rounding_top_detected,rounding_bottom_detected,neckline,hs_detected,ihs_detected,hs_neckline_slope,hs_breakout_confirmed,double_top_detected,double_bottom_detected,triple_top_detected,triple_bottom_detected,resistance_strength,volume_confirmation,support_strength,pattern_confidence,trend_strength,breakout_strength,swing_low,swing_high,triangle_type,channel_type,wedge_type,pattern_family,market_phase,market_regime
2026-04-20,782.5077514648438,52148044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.5395096022282,805.674621946626,None,None,None,None,Neutral,Neutral
2026-04-21,798.5425415039062,49135752,,816.411282376085,789.8487796083948,12.52779233378439,57.57287848624355,32.72945313754953,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,85.0,,,85.0,,,774.5395096022282,806.7074765090769,None,None,Rising,Reversal,Compression,Neutral
2026-04-22,786.8853759765625,23876412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.5395096022282,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-04-23,771.5883178710938,37677616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.5395096022282,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-04-24,772.0802001953125,27720358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.5395096022282,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-04-27,776.9496459960938,18115375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.5395096022282,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-04-28,769.817626953125,35366803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,774.5395096022282,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-04-29,766.3253784179688,25799963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,85.0,,,,764.3579463755373,806.7074765090769,None,None,None,Reversal,Neutral,Neutral
2026-04-30,759.1441650390625,47998755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.3579463755373,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-05-01,759.1441650390625,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.3579463755373,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-05-04,766.7189331054688,29028060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,764.3579463755373,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-05-05,759.734375,38887657,,838.4046469238862,746.7026258973875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.847908057028,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-05-06,783.58984375,35530831,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,749.847908057028,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-05-07,783.0979614257812,46137553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.847908057028,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-05-08,768.145263671875,38016841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.847908057028,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-05-11,751.2251586914062,41123422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.847908057028,806.7074765090769,None,None,None,None,Neutral,Neutral
2026-05-12,738.2399291992188,43937132,,786.1299429346072,736.9751286288614,0.0,0.0,2.5730960196293644,,,,,,,,,,,,,,,1.0,,,,,720.827831430892,1.0,,-3.6275095787204372,0.0,,,,,,,,85.0,,,749.847908057028,788.5084744009563,None,None,Falling,Reversal,Compression,Neutral
2026-05-13,737.4037475585938,28960919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.847908057028,788.5084744009563,None,None,None,None,Neutral,Neutral
2026-05-14,757.0291748046875,50992358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.847908057028,788.5084744009563,None,None,None,None,Neutral,Neutral
2026-05-15,755.0125122070312,24347873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.847908057028,788.5084744009563,None,None,None,None,Neutral,Neutral
2026-05-18,756.143798828125,29812079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,749.847908057028,788.5084744009563,None,None,None,None,Neutral,Neutral
2026-05-19,750.044677734375,40307830,,781.1879959517191,727.7818326693043,0.0,0.0,41.685909821575265,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,85.0,,,734.846082190099,788.5084744009563,None,None,Falling,Continuation,Compression,Neutral
2026-05-20,747.1427001953125,24013451,,768.0103670284698,725.7907284688574,0.0,0.0,50.57355404951417,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,85.0,,,734.846082190099,769.1782432932904,None,None,Falling,Continuation,Compression,Neutral
2026-05-21,746.7984008789062,34664725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.846082190099,769.1782432932904,None,None,None,None,Neutral,Neutral
2026-05-22,754.3239135742188,25604071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.846082190099,769.1782432932904,None,None,None,None,Neutral,Neutral
2026-05-25,774.0476684570312,26043952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.846082190099,769.1782432932904,None,None,None,None,Neutral,Neutral
2026-05-26,766.22705078125,31528062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.846082190099,769.1782432932904,None,None,None,None,Neutral,Neutral
2026-05-27,746.3065185546875,63680153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.846082190099,769.1782432932904,None,None,None,None,Neutral,Neutral
2026-05-28,746.3065185546875,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,734.846082190099,769.1782432932904,None,None,None,None,Neutral,Neutral
